pitcher_team,pitcher,player_name,CH,CS,CU,EP,FA,FC,FF,FS,KC,PO,SC,SI,SL,ST,SV
LAD,472610,"García, Luis",0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.2376,0.0,0.0,0.0,0.3802,0.0119,0.3545,0.0
LAD,477132,"Kershaw, Clayton",0.0,0.0006,0.1785,0.0006,0.0006,0.0,0.3458,0.0554,0.0,0.0,0.0,0.0062,0.4124,0.0,0.0
LAD,489446,"Yates, Kirby",0.0,0.0,0.0,0.0,0.0,0.0,0.5774,0.4226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAD,500743,"Rojas, Miguel",0.0,0.0,0.0,0.8406,0.1594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAD,570632,"Ureña, José",0.3243,0.0,0.0,0.0,0.0,0.0,0.3243,0.0,0.0,0.0,0.0,0.1622,0.1892,0.0,0.0
LAD,571760,"Heaney, Andrew",0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
LAD,571771,"Hernández, Enrique",0.0,0.408,0.0,0.552,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAD,592779,"Stewart, Brock",0.0417,0.0,0.0,0.0,0.0,0.0417,0.4722,0.0,0.0,0.0,0.0,0.1389,0.0,0.3056,0.0
LAD,595014,"Treinen, Blake",0.0,0.0,0.0,0.0,0.0,0.1115,0.1194,0.0,0.0,0.0,0.0,0.2975,0.0,0.4716,0.0
LAD,605483,"Snell, Blake",0.2364,0.0,0.2169,0.0,0.0,0.0,0.4358,0.0,0.0,0.0,0.0,0.0,0.1109,0.0,0.0
LAD,607192,"Glasnow, Tyler",0.0,0.0,0.2189,0.0,0.0,0.0,0.3541,0.0,0.0,0.0,0.0,0.2061,0.2209,0.0,0.0
LAD,607455,"Banda, Anthony",0.0385,0.0,0.0,0.0,0.0,0.0,0.2282,0.0,0.0,0.0,0.0,0.2413,0.492,0.0,0.0
LAD,608717,"Stratton, Chris",0.2625,0.0,0.2125,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0875,0.0,0.0
LAD,623465,"Phillips, Evan",0.0,0.0,0.0,0.0,0.0,0.0761,0.3152,0.0,0.0,0.0,0.0,0.0761,0.0,0.5326,0.0
LAD,642152,"Trivino, Lou",0.1304,0.0,0.0207,0.0,0.0,0.2671,0.1429,0.0,0.0,0.0,0.0,0.1946,0.0,0.2443,0.0
LAD,642759,"Fernández, Julian",0.2778,0.0,0.0,0.0,0.0,0.0,0.7222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAD,656420,"Feyereisen, J.P.",0.3824,0.0,0.0,0.0,0.0,0.0,0.4412,0.0,0.0,0.0,0.0,0.0,0.1471,0.0294,0.0
LAD,656629,"Kopech, Michael",0.0043,0.0,0.0,0.0,0.0,0.1515,0.8268,0.0,0.0,0.0,0.0,0.0,0.0173,0.0,0.0
LAD,656945,"Scott, Tanner",0.0011,0.0,0.0,0.0,0.0,0.0,0.5269,0.0,0.0,0.0,0.0,0.0,0.472,0.0,0.0
LAD,660271,"Ohtani, Shohei",0.0,0.0,0.0876,0.0,0.0,0.0664,0.3865,0.0465,0.0,0.0,0.0,0.0717,0.1129,0.2284,0.0
LAD,663562,"Davis, Noah",0.0,0.0,0.0,0.0,0.0,0.1418,0.0672,0.0,0.0,0.0,0.0299,0.3507,0.0,0.4104,0.0
LAD,664062,"Gonsolin, Tony",0.0,0.0,0.1691,0.0,0.0,0.0,0.4023,0.2677,0.0,0.0,0.0,0.0,0.1609,0.0,0.0
LAD,664747,"Díaz, Alexis",0.0,0.0,0.0,0.0,0.0,0.0,0.6074,0.0,0.0,0.0,0.0,0.0,0.3926,0.0,0.0
LAD,669160,"May, Dustin",0.0,0.0,0.0,0.0,0.0,0.0702,0.1579,0.0,0.0,0.0,0.0,0.3607,0.0,0.4112,0.0
LAD,669193,"Little, Jack",0.0,0.0,0.0,0.0,0.0,0.0,0.5682,0.1591,0.0,0.0,0.0,0.0,0.2727,0.0,0.0
LAD,669422,"Sauer, Matt",0.0,0.0,0.0098,0.0,0.0,0.3184,0.2188,0.0898,0.0,0.0,0.0,0.1758,0.1875,0.0,0.0
LAD,672782,"Gómez, Yoendrys",0.043,0.0,0.1935,0.0,0.0,0.0,0.4624,0.0,0.0,0.0,0.0,0.0,0.0,0.3011,0.0
LAD,676263,"Dreyer, Jack",0.0,0.0,0.0873,0.0,0.0,0.0,0.4511,0.0,0.0,0.0,0.0,0.0,0.4616,0.0,0.0
LAD,676272,"Miller, Bobby",0.1379,0.0,0.2759,0.0,0.0,0.0,0.2672,0.0,0.0,0.0,0.0,0.2241,0.0948,0.0,0.0
LAD,676508,"Casparius, Ben",0.0,0.0,0.1442,0.0,0.0,0.2179,0.3043,0.0,0.0,0.0,0.0,0.0119,0.0,0.3217,0.0
LAD,680736,"Wrobleski, Justin",0.033,0.0,0.0861,0.0,0.0,0.141,0.2857,0.0,0.0,0.0,0.0,0.206,0.2482,0.0,0.0
LAD,681911,"Vesia, Alex",0.0616,0.0,0.0,0.0,0.0,0.0,0.5748,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,0.0
LAD,683618,"Henriquez, Edgardo",0.0,0.0,0.1039,0.0,0.0,0.1971,0.2688,0.0,0.0,0.0,0.0,0.3011,0.129,0.0,0.0
LAD,686218,"Sheehan, Emmet",0.1667,0.0,0.0611,0.0,0.0009,0.0,0.4677,0.0,0.0,0.0,0.0,0.0,0.3037,0.0,0.0
LAD,689017,"Knack, Landon",0.2613,0.0,0.0,0.0,0.0,0.0,0.4851,0.0,0.1345,0.0,0.0,0.0,0.119,0.0,0.0
LAD,694361,"Klein, Will",0.0,0.0,0.2197,0.0,0.0,0.1639,0.5738,0.0,0.0,0.0,0.0,0.0,0.0,0.0426,0.0
LAD,702795,"Loutos, Ryan",0.2241,0.0,0.0,0.0,0.0,0.0,0.2931,0.0,0.0,0.0,0.0,0.2069,0.2759,0.0,0.0
