pitcher_team,pitcher,player_name,pitch_type,pitches,total_pitches,pct
LAD,607455,"Banda, Anthony",SL,524,1065,0.492
LAD,607455,"Banda, Anthony",SI,257,1065,0.2413
LAD,607455,"Banda, Anthony",FF,243,1065,0.2282
LAD,607455,"Banda, Anthony",CH,41,1065,0.0385
LAD,676508,"Casparius, Ben",ST,406,1262,0.3217
LAD,676508,"Casparius, Ben",FF,384,1262,0.3043
LAD,676508,"Casparius, Ben",FC,275,1262,0.2179
LAD,676508,"Casparius, Ben",CU,182,1262,0.1442
LAD,676508,"Casparius, Ben",SI,15,1262,0.0119
LAD,663562,"Davis, Noah",ST,55,134,0.4104
LAD,663562,"Davis, Noah",SI,47,134,0.3507
LAD,663562,"Davis, Noah",FC,19,134,0.1418
LAD,663562,"Davis, Noah",FF,9,134,0.0672
LAD,663562,"Davis, Noah",SC,4,134,0.0299
LAD,676263,"Dreyer, Jack",SL,529,1146,0.4616
LAD,676263,"Dreyer, Jack",FF,517,1146,0.4511
LAD,676263,"Dreyer, Jack",CU,100,1146,0.0873
LAD,664747,"Díaz, Alexis",FF,99,163,0.6074
LAD,664747,"Díaz, Alexis",SL,64,163,0.3926
LAD,642759,"Fernández, Julian",FF,26,36,0.7222
LAD,642759,"Fernández, Julian",CH,10,36,0.2778
LAD,656420,"Feyereisen, J.P.",FF,15,34,0.4412
LAD,656420,"Feyereisen, J.P.",CH,13,34,0.3824
LAD,656420,"Feyereisen, J.P.",SL,5,34,0.1471
LAD,656420,"Feyereisen, J.P.",ST,1,34,0.0294
LAD,472610,"García, Luis",SI,192,505,0.3802
LAD,472610,"García, Luis",ST,179,505,0.3545
LAD,472610,"García, Luis",FS,120,505,0.2376
LAD,472610,"García, Luis",FF,8,505,0.0158
LAD,472610,"García, Luis",SL,6,505,0.0119
LAD,801434,"Gervase, Paul",FF,17,32,0.5312
LAD,801434,"Gervase, Paul",SL,12,32,0.375
LAD,801434,"Gervase, Paul",FC,3,32,0.0938
LAD,607192,"Glasnow, Tyler",FF,524,1480,0.3541
LAD,607192,"Glasnow, Tyler",SL,327,1480,0.2209
LAD,607192,"Glasnow, Tyler",CU,324,1480,0.2189
LAD,607192,"Glasnow, Tyler",SI,305,1480,0.2061
LAD,664062,"Gonsolin, Tony",FF,245,609,0.4023
LAD,664062,"Gonsolin, Tony",FS,163,609,0.2677
LAD,664062,"Gonsolin, Tony",CU,103,609,0.1691
LAD,664062,"Gonsolin, Tony",SL,98,609,0.1609
LAD,672782,"Gómez, Yoendrys",FF,43,93,0.4624
LAD,672782,"Gómez, Yoendrys",ST,28,93,0.3011
LAD,672782,"Gómez, Yoendrys",CU,18,93,0.1935
LAD,672782,"Gómez, Yoendrys",CH,4,93,0.043
LAD,571760,"Heaney, Andrew",FF,26,52,0.5
LAD,571760,"Heaney, Andrew",SL,26,52,0.5
LAD,683618,"Henriquez, Edgardo",SI,84,279,0.3011
LAD,683618,"Henriquez, Edgardo",FF,75,279,0.2688
LAD,683618,"Henriquez, Edgardo",FC,55,279,0.1971
LAD,683618,"Henriquez, Edgardo",SL,36,279,0.129
