pitcher_team,pitcher,player_name,CH,CS,CU,EP,FA,FC,FF,FS,KC,PO,SC,SI,SL,ST,SV
TOR,453286,"Scherzer, Max",0.1403,0.0,0.1187,0.0,0.0,0.0194,0.4849,0.0,0.0,0.0,0.0,0.0,0.2367,0.0,0.0
TOR,554340,"García, Yimi",0.0557,0.0,0.1727,0.0,0.0,0.0,0.4429,0.0,0.0,0.0,0.0,0.1504,0.0056,0.1727,0.0
TOR,570632,"Ureña, José",0.3518,0.0,0.0,0.0,0.0,0.0,0.3668,0.0101,0.0,0.0,0.0,0.0804,0.191,0.0,0.0
TOR,592332,"Gausman, Kevin",0.0,0.0,0.0,0.0,0.0,0.0,0.5373,0.3756,0.0,0.0,0.0,0.0007,0.0865,0.0,0.0
TOR,596271,"Lawrence, Casey",0.2692,0.0,0.0,0.0,0.0,0.0385,0.0769,0.0,0.0,0.0,0.0,0.4231,0.0,0.1923,0.0
TOR,605135,"Bassitt, Chris",0.0269,0.0,0.1626,0.0,0.0,0.169,0.093,0.0456,0.0,0.0,0.0,0.4168,0.029,0.0573,0.0
TOR,605513,"Turnbull, Spencer",0.112,0.0,0.152,0.0,0.0,0.0,0.376,0.0,0.0,0.0,0.0,0.064,0.072,0.224,0.0
TOR,606930,"Barnes, Jacob",0.0,0.0,0.0,0.0,0.0,0.5068,0.3699,0.0685,0.0,0.0,0.0,0.0,0.0548,0.0,0.0
TOR,621114,"Burr, Ryan",0.0,0.0,0.0,0.0,0.0,0.0,0.2308,0.0,0.0,0.0,0.0,0.0,0.7692,0.0,0.0
TOR,621244,"Berríos, José",0.168,0.0,0.0,0.0,0.0,0.0588,0.185,0.0,0.0,0.0,0.0,0.3286,0.0,0.0,0.2597
TOR,621366,"Borucki, Ryan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2078,0.0,0.0,0.0,0.2987,0.3896,0.1039,0.0
TOR,622253,"Tate, Dillon",0.2086,0.0,0.0,0.0,0.0,0.0,0.0216,0.0,0.0,0.0,0.0,0.3381,0.0,0.4317,0.0
TOR,622554,"Domínguez, Seranthony",0.0,0.0,0.0164,0.0,0.0,0.0,0.4317,0.1503,0.0,0.0,0.0,0.1393,0.0,0.2623,0.0
TOR,623168,"Heineman, Tyler",0.0,0.0,0.0,0.9138,0.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,641778,"Lauer, Eric",0.0797,0.0,0.1439,0.0,0.0,0.2045,0.4649,0.0,0.0,0.0,0.0,0.0006,0.1064,0.0,0.0
TOR,643338,"Green, Chad",0.0,0.0,0.0,0.0,0.0,0.0,0.5014,0.0,0.0,0.0014,0.0,0.0225,0.4746,0.0,0.0
TOR,643396,"Kiner-Falefa, Isiah",0.0,0.0,0.0,0.1429,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,645305,"Sánchez, Ali",0.0,0.7778,0.0,0.1667,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,656546,"Hoffman, Jeff",0.0,0.0,0.0,0.0,0.0,0.0,0.3901,0.2376,0.0,0.0009,0.0,0.0727,0.2988,0.0,0.0
TOR,657024,"Swanson, Erik",0.0,0.0,0.0,0.0,0.0,0.0,0.4609,0.4375,0.0,0.0,0.0,0.0,0.1016,0.0,0.0
TOR,663893,"Little, Brendon",0.0,0.0,0.0,0.0,0.0,0.0782,0.0065,0.0,0.4597,0.0,0.0,0.4556,0.0,0.0,0.0
TOR,663992,"Lovelady, Richard",0.0,0.0,0.0,0.0,0.0,0.0,0.1739,0.0,0.0,0.0,0.0,0.4348,0.2174,0.1739,0.0
TOR,667297,"Nance, Tommy",0.0,0.0,0.2928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777,0.4295,0.0,0.0
TOR,669456,"Bieber, Shane",0.1287,0.0,0.0,0.0,0.0,0.1256,0.3566,0.0,0.186,0.0,0.0,0.0,0.2031,0.0,0.0
TOR,670102,"Francis, Bowden",0.0,0.0,0.1402,0.0,0.0,0.0,0.56,0.2244,0.0,0.0,0.0,0.0175,0.0578,0.0,0.0
TOR,673820,"Piña, Robinson",0.0,0.0,0.0,0.0,0.0,0.0,0.1364,0.2273,0.0,0.0,0.0,0.5455,0.0909,0.0,0.0
TOR,677020,"Walker, Josh",0.0,0.0,0.5326,0.0,0.0,0.0,0.4022,0.0,0.0,0.0,0.0,0.0652,0.0,0.0,0.0
TOR,677865,"Bruihl, Justin",0.0,0.0,0.0,0.0,0.0,0.0731,0.0,0.0,0.0,0.0,0.0,0.5114,0.0,0.4155,0.0
TOR,680704,"Sandlin, Nick",0.0,0.0,0.0,0.0,0.0,0.0,0.2069,0.1966,0.0,0.0034,0.0,0.1069,0.4862,0.0,0.0
TOR,680755,"Fisher, Braydon",0.0,0.0,0.3657,0.0,0.0,0.0312,0.2194,0.0,0.0,0.0012,0.0,0.0,0.3825,0.0,0.0
TOR,681751,"Estrada, Lazaro",0.0,0.0,0.1092,0.0,0.0,0.0,0.4874,0.0588,0.0,0.0,0.0,0.0,0.3445,0.0,0.0
TOR,683021,"Stefanic, Michael",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,684320,"Rodríguez, Yariel",0.0,0.0,0.0,0.0,0.0,0.0,0.4072,0.1191,0.0,0.0009,0.0,0.0604,0.4124,0.0,0.0
TOR,686973,"Varland, Louis",0.0467,0.0,0.0,0.0,0.0,0.0,0.4341,0.0,0.3901,0.0,0.0,0.044,0.0852,0.0,0.0
TOR,687606,"Schultz, Paxton",0.1942,0.0,0.0,0.0,0.0,0.2879,0.3661,0.0,0.0,0.0,0.0,0.0045,0.1473,0.0,0.0
TOR,687922,"Lucas, Easton",0.21,0.0,0.0,0.0,0.0,0.0731,0.4977,0.0,0.0,0.0,0.0,0.0,0.121,0.0982,0.0
TOR,689254,"Fluharty, Mason",0.0,0.0,0.0,0.0,0.0,0.5821,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.4168,0.0
TOR,702056,"Yesavage, Trey",0.0,0.0,0.0,0.0,0.0,0.0,0.4519,0.2636,0.0,0.0,0.0,0.0,0.2845,0.0,0.0
