pitcher_team,pitcher,player_name,pitch_type,pitches,total_pitches,pct
TOR,606930,"Barnes, Jacob",FC,74,146,0.5068
TOR,606930,"Barnes, Jacob",FF,54,146,0.3699
TOR,606930,"Barnes, Jacob",FS,10,146,0.0685
TOR,606930,"Barnes, Jacob",SL,8,146,0.0548
TOR,605135,"Bassitt, Chris",SI,1179,2829,0.4168
TOR,605135,"Bassitt, Chris",FC,478,2829,0.169
TOR,605135,"Bassitt, Chris",CU,460,2829,0.1626
TOR,605135,"Bassitt, Chris",FF,263,2829,0.093
TOR,605135,"Bassitt, Chris",ST,162,2829,0.0573
TOR,605135,"Bassitt, Chris",FS,129,2829,0.0456
TOR,605135,"Bassitt, Chris",SL,82,2829,0.029
TOR,605135,"Bassitt, Chris",CH,76,2829,0.0269
TOR,621244,"Berríos, José",SI,849,2584,0.3286
TOR,621244,"Berríos, José",SV,671,2584,0.2597
TOR,621244,"Berríos, José",FF,478,2584,0.185
TOR,621244,"Berríos, José",CH,434,2584,0.168
TOR,621244,"Berríos, José",FC,152,2584,0.0588
TOR,669456,"Bieber, Shane",FF,230,645,0.3566
TOR,669456,"Bieber, Shane",SL,131,645,0.2031
TOR,669456,"Bieber, Shane",KC,120,645,0.186
TOR,669456,"Bieber, Shane",CH,83,645,0.1287
TOR,669456,"Bieber, Shane",FC,81,645,0.1256
TOR,621366,"Borucki, Ryan",SL,30,77,0.3896
TOR,621366,"Borucki, Ryan",SI,23,77,0.2987
TOR,621366,"Borucki, Ryan",FS,16,77,0.2078
TOR,621366,"Borucki, Ryan",ST,8,77,0.1039
TOR,677865,"Bruihl, Justin",SI,112,219,0.5114
TOR,677865,"Bruihl, Justin",ST,91,219,0.4155
TOR,677865,"Bruihl, Justin",FC,16,219,0.0731
TOR,621114,"Burr, Ryan",SL,30,39,0.7692
TOR,621114,"Burr, Ryan",FF,9,39,0.2308
TOR,622554,"Domínguez, Seranthony",FF,158,366,0.4317
TOR,622554,"Domínguez, Seranthony",ST,96,366,0.2623
TOR,622554,"Domínguez, Seranthony",FS,55,366,0.1503
TOR,622554,"Domínguez, Seranthony",SI,51,366,0.1393
TOR,622554,"Domínguez, Seranthony",CU,6,366,0.0164
TOR,681751,"Estrada, Lazaro",FF,58,119,0.4874
TOR,681751,"Estrada, Lazaro",SL,41,119,0.3445
TOR,681751,"Estrada, Lazaro",CU,13,119,0.1092
TOR,681751,"Estrada, Lazaro",FS,7,119,0.0588
TOR,680755,"Fisher, Braydon",SL,319,834,0.3825
TOR,680755,"Fisher, Braydon",CU,305,834,0.3657
TOR,680755,"Fisher, Braydon",FF,183,834,0.2194
TOR,680755,"Fisher, Braydon",FC,26,834,0.0312
TOR,680755,"Fisher, Braydon",PO,1,834,0.0012
TOR,689254,"Fluharty, Mason",FC,500,859,0.5821
TOR,689254,"Fluharty, Mason",ST,358,859,0.4168
TOR,689254,"Fluharty, Mason",SI,1,859,0.0012
TOR,670102,"Francis, Bowden",FF,639,1141,0.56
TOR,670102,"Francis, Bowden",FS,256,1141,0.2244
TOR,670102,"Francis, Bowden",CU,160,1141,0.1402
TOR,670102,"Francis, Bowden",SL,66,1141,0.0578
TOR,670102,"Francis, Bowden",SI,20,1141,0.0175
TOR,554340,"García, Yimi",FF,159,359,0.4429
