"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
263,680718,"Barger, Addison",2218,11.9,0.149,0.021,0.241,0.17,0.173,0.185,0.151,7,47,85.4,3.2,2586,80.2,80.11,30,98,165,-0.10000000000000853,6.44,116,145,119,150,293,325,299,"2.928","-2.928","71.9","8.1",50,29,6,1,0,0,18,36,2,4,4.52631,-0.93578,-0.72954,0.6043,"92.2",114,37.93103448275862,3.4482758620689653,2,5.9,-1.48,-0.1,1.95,0.2,1,"-1.113307985",0.202,0.201,"1.113307985",-0.002,-0.0020000000000000018,-0.031,-0.012,30.6,"42.6",13.55650014172094,-17.793079934087366,30.226094300347842,0.4842105263157895,33.34948101600787,39.17888241003758
174,543807,"Springer, George",2573,6.8,0.233,0.1,0.25,0.333,0.285,0.342,0.29,7,30,87.8,11.8,2582,80,79.91,21,66,108,-0.09999999999999432,6.49,108,151,122,147,303,325,292,"-0.086","0.086","68.6","7.9",33,25,6,0,0,1,5,15.2,3,9.1,4.53822,-0.91983,-0.77376,-0.51595,"91.8",120,48,8,6.0606060606060606,5.93,-1.05,0.42,1.96,0.303,2,"0.049425287",0.354,0.429,"-0.049425287",-0.057,-0.05099999999999999,-0.096,-0.057,31.8,"44.2",17.143089696598174,-9.0375016892592,35.24917068912347,0.5076923076923077,39.55751342741584,27.64319506233933
168,666182,"Bichette, Bo",2421,6.9,0.298,0.191,0.333,0.489,0.343,0.371,0.316,14,47,89.6,15.8,2563,80.8,80.82,27,83,85,0,6.48,110,151,124,149,305,322,289,"-4.336","4.336","69.0","8.1",48,38,9,3,0,2,9,18.8,1,2.1,4.38923,-0.85214,-0.7475,-0.44321,"93.5",183,42.10526315789473,10.526315789473683,8.333333333333332,5.87,-0.85,0.44,1.62,0.313,4,"2.580952381",0.33,0.54,"-2.580952381",-0.018,-0.017000000000000015,-0.051,-0.028,32.5,"42.7",15.526376215068668,-18.154742433170465,38.27923656430697,0.5641025641025641,33.67536218979402,37.87730774797201
160,672386,"Kirk, Alejandro",2301,7,0.263,0.211,0.276,0.474,0.316,0.345,0.261,10,38,89.4,5.8,2566,79.9,79.72,13,68,92,-0.20000000000000284,6.42,110,152,126,149,303,322,289,"-2.154","2.154","72.2","7.7",42,31,6,2,0,2,9,21.4,2,4.8,4.5725,-0.94425,-0.75456,-0.18556,"93.1",127,51.61290322580645,16.129032258064516,11.904761904761903,5.98,-0.29,0.14,1.69,0.286,5,"1.34625",0.298,0.486,"-1.34625",0.002,-0.01200000000000001,-0.012,-0.029,19.1,"45.8",12.594917970416986,-9.96618771495311,25.545738046791165,0.6617647058823529,39.123474750586546,40.58595598207978
156,665489,"Guerrero Jr., Vladimir",2821,5.5,0.3,0.375,0.258,0.675,0.447,0.411,0.297,12,40,87.8,6.9,2578,80.5,80.51,19,66,90,0,6.48,110,151,125,147,306,327,295,"-6.497","6.497","75.4","8.1",49,35,5,3,0,4,6,12.2,7,14.3,4.43506,-0.87269,-0.70013,-0.41716,"94.0",122,45.714285714285715,14.285714285714285,10.204081632653061,5.92,-0.85,0.22,1.77,0.408,5,"4.16474359",0.407,0.56,"-4.16474359",0.003,0.0010000000000000009,0.115,0.036,28.8,"44.6",7.51363026178849,-18.88797362620787,26.31958117271141,0.6153846153846154,38.43882021428429,45.47111755975764
154,676391,"Clement, Ernie",2083,7.4,0.233,0.116,0.231,0.349,0.244,0.262,0.26,10,43,81.4,14.7,2542,79.9,79.83,12,79,75,-0.10000000000000853,6.4,106,152,110,146,297,318,287,"2.602","-2.602","62.8","7.2",45,41,7,2,0,1,4,8.9,0,0,4.50422,-0.88584,-0.77,-0.19503,"90.5",126,19.51219512195122,0,0,5.93,-0.26,0.2,1.94,0.227,0,"-1.68961039",0.264,0.335,"1.68961039",-0.027,-0.037000000000000005,0.014,-0.018,15.2,"43.6",14.67337505036222,-8.178493836027204,33.44738165529605,0.6578947368421053,37.677092027505324,36.15449820928513
154,665926,"Giménez, Andrés",1718,9,0.147,0.088,0.19,0.235,0.207,0.248,0.197,5,34,87.2,-3.3,2571,80.3,80.15,22,69,85,-0.09999999999999432,6.47,115,146,107,151,287,319,297,"1.227","-1.227","66.0","7.3",37,22,4,0,0,1,12,32.4,2,5.4,4.52065,-0.92935,-0.76812,0.5476,"90.7",88,22.727272727272727,0,0,5.97,-1.46,-0.04,1.8,0.216,0,"-0.796753247",0.262,0.286,"0.796753247",-0.05,-0.04600000000000001,-0.051,-0.041,31.9,"44.8",14.765449370943395,-8.950263977446978,32.06970261489982,0.417910447761194,37.88622989979829,37.6829602943487
145,664770,"Lukes, Nathan",1916,7.6,0.244,0.171,0.258,0.415,0.294,0.336,0.288,10,41,89.8,11.8,2588,80.7,80.53,13,71,74,-0.20000000000000284,6.4,119,148,111,152,285,318,299,"-3.92","3.92","69.3","7.1",44,33,7,1,0,2,9,20.5,1,2.3,4.51062,-0.96576,-0.74055,0.65945,"92.6",148,45.45454545454545,9.090909090909092,6.8181818181818175,5.95,-1.55,0.09,1.83,0.273,3,"2.703448276",0.314,0.479,"-2.703448276",-0.044,-0.04099999999999998,-0.064,-0.042,18.3,"43.7",13.491876961289169,-2.5602155688580277,33.417387322851475,0.5692307692307692,37.16479160882087,33.37288175965547
128,662139,"Varsho, Daulton",1294,9.9,0.28,0.4,0.333,0.68,0.408,0.249,0.187,7,25,85.7,18.8,2588,80.6,80.61,12,54,74,0,6.47,113,143,108,150,294,324,298,"-3.094","3.094","72.0","8.4",26,17,2,2,1,2,8,30.8,1,3.8,4.41469,-0.86819,-0.73883,0.45664,"91.9",130,35.294117647058826,11.76470588235294,7.6923076923076925,5.97,-1.13,-0.07,1.86,0.308,2,"2.4171875",0.218,0.363,"-2.4171875",0.093,0.09,0.317,0.159,22.2,"45.3",18.320746681756173,-16.854790312068452,32.584548512917536,0.4897959183673469,36.87583659429888,36.12710942648785
102,676914,"Schneider, Davis",1115,9.1,0.143,0.214,0.143,0.357,0.294,0.272,0.149,2,14,80.1,15.6,2505,79.2,79.05,10,29,73,-0.10000000000000853,6.36,108,150,122,145,297,321,290,"-1.339","1.339","67.7","7.5",17,8,1,0,0,1,6,35.3,3,17.6,4.52176,-0.84216,-0.69451,0.2302,"90.5",116,12.5,12.5,5.88235294117647,6.11,0.7,0.28,1.8,0.294,1,"1.312745098",0.299,0.283,"-1.312745098",-0.006,-0.0050000000000000044,0.074,0.022,34.5,"48.7",24.85419162771037,-13.173703105852073,34.97233530004112,0.13793103448275862,34.50242424595262,41.873033758687484
