"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2797,665489,"Guerrero Jr., Vladimir",2797,100,0.304,0.199,0.318,0.504,0.383,0.407,0.323,200,657,92.1,8,2269,90.1,90.31,250,1187,1610,0.20000000000000284,6.5,108,151,125,147,304,326,293,"-50.217","50.217","75.4","7.6",750,562,131,38,0,31,100,13.3,81,10.8,2.25951,0.6039,0.40638,0.17115,"94.4",152,50.88967971530249,12.633451957295375,9.466666666666667,5.73,-0.96,0.16,2.31,0.384,71,"1.795387916",0.402,0.544,"-1.795387916",-0.019,-0.018000000000000016,-0.04,-0.024,21.1,"37.2",0.7694816306788701,-3.3949600236183253,27.511569680293007,0.2954939341421144,37.566517744131644,33.718953463991745
2547,543807,"Springer, George",2547,100,0.304,0.256,0.333,0.56,0.404,0.414,0.299,170,559,89.9,16.1,2262,89.4,89.58,311,1196,1351,0.19999999999998863,6.5,109,152,123,147,301,324,291,"-53.544","53.544","71.5","7.4",652,439,100,33,1,36,125,19.2,71,10.9,2.353,0.56373,0.36544,0.15497,"92.6",160,46.590909090909086,16.363636363636363,11.042944785276074,5.73,-0.9,0.16,2.36,0.389,72,"2.102237927",0.387,0.588,"-2.102237927",0.005,0.0020000000000000018,-0.028,-0.01,26,"37.3",12.485616608857635,1.1107718723743705,35.165217409397336,0.5526770293609672,37.1930000166721,21.69089193934082
2404,666182,"Bichette, Bo",2404,100,0.311,0.166,0.343,0.478,0.36,0.364,0.307,187,601,90.9,8.2,2302,89.8,89.94,240,1272,1132,0.10000000000000853,6.49,109,150,123,148,304,322,289,"-22.407","22.407","67.1","7.1",648,510,124,44,1,18,94,14.5,41,6.3,2.27225,0.61838,0.3332,0.0779,"92.5",167,48.62204724409449,7.874015748031496,6.172839506172839,5.78,-1.04,0.24,2.3,0.356,40,"0.932071547",0.355,0.486,"-0.932071547",0.004,0.0010000000000000009,-0.008,-0.004,18.9,"38.1",2.7184228659103047,3.6758205399121415,37.629087549910444,0.3116123642439432,34.741424146887276,23.0719922838127
2288,672386,"Kirk, Alejandro",2288,100,0.277,0.155,0.285,0.431,0.337,0.369,0.288,143,517,91.1,12.3,2304,89.8,89.83,199,1083,1205,0,6.46,109,151,124,148,301,321,287,"-9.9","9.9","70.8","7.1",580,452,103,20,0,20,72,12.4,54,9.3,2.30467,0.59448,0.31481,0.11876,"92.7",167,50.332594235033255,10.643015521064301,8.275862068965518,5.76,-0.77,0.16,2.26,0.343,48,"0.432692308",0.357,0.492,"-0.432692308",-0.011,-0.013999999999999957,-0.061,-0.032,18.4,"37.8",7.062862745010158,6.7654268833431255,23.8355155503808,0.5293023255813953,39.6375562729654,28.879309915076043
2186,680718,"Barger, Addison",2186,100,0.256,0.213,0.298,0.469,0.334,0.345,0.27,132,516,91.2,10.7,2266,89.1,89.19,274,1063,1123,0.10000000000000853,6.45,114,145,120,151,292,324,298,"-6.57","6.57","74.6","7.5",560,386,71,36,1,24,132,23.6,38,6.8,2.45341,0.51771,0.34515,-0.20632,"93.5",155,49.740932642487046,11.658031088082902,8.035714285714286,5.75,-1.18,-0.1,2.44,0.309,45,"0.300548948",0.323,0.48,"-0.300548948",-0.014,-0.014000000000000012,-0.011,-0.011,25.8,"37.6",8.140651964367787,-2.9750335700402766,28.634005087008322,0.4852240228789323,33.227842439727354,30.586558831107144
2069,676391,"Clement, Ernie",2069,100,0.29,0.124,0.309,0.414,0.319,0.303,0.276,178,613,85.5,17.5,2287,88.8,88.85,164,1137,932,0.10000000000000853,6.43,107,151,111,146,295,318,286,"1.007","-1.007","64.7","6.9",659,561,125,40,3,10,66,10,27,4.1,2.41271,0.55436,0.26371,0.003,"90.8",157,26.25,2.142857142857143,1.8209408194233687,5.74,-0.64,0.25,2.27,0.322,12,"-0.048670855",0.312,0.379,"0.048670855",0.014,0.010000000000000009,0.035,0.016,14.4,"37.5",10.649911668083504,-1.371012710840955,32.138487971972424,0.5740402193784278,37.57902759816133,30.435104186337224
1902,664770,"Lukes, Nathan",1902,100,0.26,0.141,0.281,0.4,0.316,0.319,0.267,116,447,86.5,8.8,2245,90.4,90.53,138,939,963,0.09999999999999432,6.45,116,147,108,151,285,319,298,"-7.338","7.338","66.3","6.3",500,389,79,23,2,12,68,13.6,41,8.2,2.18302,0.68428,0.44694,-0.36786,"91.1",158,36.883116883116884,4.415584415584416,3.4000000000000004,5.76,-1.39,-0.02,2.44,0.323,17,"0.385804416",0.33,0.395,"-0.385804416",-0.007,-0.007000000000000006,0.005,-0.003,14.7,"37.8",5.871647515383054,10.86513766359436,31.142457591170164,0.3991031390134529,37.706065622730456,24.57938647649842
1696,665926,"Giménez, Andrés",1696,100,0.21,0.105,0.24,0.315,0.268,0.313,0.258,82,390,85.6,9.4,2236,89.8,89.92,225,902,794,0.10000000000000853,6.5,113,145,106,150,284,318,296,"14.359","-14.359","67.1","6.9",438,316,60,12,1,9,81,18.5,28,6.4,2.28334,0.59866,0.42947,-0.29617,"90.6",154,28.662420382165603,3.5031847133757963,2.5114155251141552,5.69,-0.97,-0.12,2.35,0.283,11,"-0.846639151",0.329,0.366,"0.846639151",-0.048,-0.04600000000000004,-0.051,-0.045,24.9,"36.7",7.356507051934562,4.284934307303829,31.467054017053176,0.45120551090700345,39.31476723250662,27.976706045110586
1273,662139,"Varsho, Daulton",1273,100,0.239,0.289,0.257,0.528,0.341,0.336,0.238,76,318,88.6,23.9,2281,89.9,90.11,205,700,573,0.19999999999998863,6.49,113,144,108,151,291,322,296,"-14.533","14.533","73.5","7.8",346,229,33,17,3,23,94,27.2,20,5.8,2.27115,0.6063,0.32044,-0.20003,"92.8",172,41.66666666666667,14.035087719298245,9.248554913294797,5.72,-0.99,-0.09,2.42,0.286,32,"1.141633936",0.29,0.5,"-1.141633936",0.001,-0.0040000000000000036,0.028,0.005,29.3,"37.4",12.137359418551338,-4.039016494621004,29.632790577027937,0.6208955223880597,35.498761942148896,28.038471461133742
1173,664702,"Straw, Myles",1173,100,0.254,0.099,0.301,0.352,0.289,0.296,0.254,72,284,83.9,12.6,2255,89.4,89.47,98,556,617,0.09999999999999432,6.41,104,149,107,146,298,314,278,"4.879","-4.879","64.2","6.7",317,241,53,14,1,4,55,17.4,20,6.3,2.25421,0.69344,0.39213,-0.07808,"90.4",166,27.385892116182575,4.149377593360995,3.1545741324921135,5.82,0.14,0.22,2.4,0.304,10,"-0.415942029",0.305,0.37,"0.415942029",0,-0.0010000000000000009,-0.018,-0.007,17.6,"39.6",5.190467879447772,3.645947898588545,35.22836488298534,0.43186180422264875,35.08037333286086,25.465592980572126
