"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1626,665489,"Guerrero Jr., Vladimir",2821,57.6,0.339,0.198,0.349,0.537,0.418,0.431,0.346,125,369,93.4,6.6,2313,94.2,94.32,101,653,973,0.09999999999999432,6.5,107,151,125,147,304,326,293,"-32.369","32.369","75.0","7.2",438,328,84,25,0,16,45,10.3,60,13.7,1.61624,0.97635,0.72273,0.45615,"94.6",160,53.35365853658537,11.28048780487805,8.447488584474886,5.74,-1,0.04,2.62,0.434,37,"1.990713407",0.442,0.558,"-1.990713407",-0.007,-0.008000000000000007,-0.021,-0.013,15.5,"37.3",-3.371764752980847,5.0333527189492715,27.506653158159196,0.13564668769716087,36.307436907187586,27.483752391850512
1432,666182,"Bichette, Bo",2421,59.1,0.308,0.136,0.34,0.445,0.358,0.369,0.312,95,308,92.6,3.8,2310,93.8,93.94,107,723,709,0.10000000000000853,6.5,109,150,123,148,304,322,290,"-4.63","4.63","65.7","6.5",342,266,68,19,1,7,43,12.6,31,9.1,1.58934,1.02533,0.67684,0.39298,"92.3",172,53.78787878787878,5.681818181818182,4.385964912280701,5.78,-1.07,0.09,2.64,0.374,15,"0.323324022",0.379,0.468,"-0.323324022",-0.004,-0.0050000000000000044,-0.023,-0.011,14.8,"38.3",-4.812679078147069,15.083534117009009,38.084199386023656,0.1738484398216939,32.93703258024503,15.408020379967244
1379,543807,"Springer, George",2573,53.6,0.329,0.277,0.339,0.606,0.435,0.466,0.34,107,325,92.1,17.4,2295,93.8,93.92,141,688,691,0.10000000000000853,6.52,109,152,123,147,300,324,291,"-34.133","34.133","73.0","7.2",380,271,64,19,1,23,55,14.5,43,11.3,1.60732,1.01025,0.70497,0.40475,"93.0",171,51.85185185185185,17.77777777777778,12.631578947368421,5.73,-0.89,-0.01,2.7,0.418,48,"2.47519942",0.429,0.681,"-2.47519942",-0.011,-0.01100000000000001,-0.075,-0.031,20.5,"37.2",9.538674043790532,6.936596393817685,34.29268433107143,0.6108597285067874,36.15183302920718,18.160865132138927
1343,672386,"Kirk, Alejandro",2301,58.4,0.299,0.155,0.312,0.453,0.366,0.388,0.308,83,278,92,12,2292,93.8,93.9,99,628,715,0.10000000000000853,6.48,108,150,124,148,301,321,287,"-2.894","2.894","70.1","6.8",319,242,62,10,0,11,38,11.9,38,11.9,1.61168,1.00246,0.75308,0.41179,"92.5",182,53.52697095435685,10.37344398340249,7.836990595611286,5.74,-0.75,0,2.56,0.382,25,"0.215487714",0.392,0.508,"-0.215487714",-0.009,-0.010000000000000009,-0.055,-0.022,15.8,"37.1",3.4970763552510484,14.781700970853626,23.303787770139657,0.4224,38.59758705843246,23.599781291444984
1190,664770,"Lukes, Nathan",1916,62.1,0.264,0.106,0.288,0.37,0.326,0.332,0.275,65,246,87,8.4,2312,94.1,94.24,72,572,618,0.10000000000000853,6.47,115,147,107,151,285,319,298,"1.967","-1.967","65.5","5.9",290,224,47,13,2,3,29,10,36,12.4,1.5078,1.08786,0.66986,-0.46976,"91.0",169,39.63963963963964,1.8018018018018018,1.3793103448275863,5.74,-1.38,0.01,2.74,0.359,4,"-0.165294118",0.369,0.371,"0.165294118",-0.011,-0.010000000000000009,-0.001,-0.006,12.6,"37.7",1.8925332619824458,17.32235869807891,30.096884666425535,0.3376146788990826,37.04801040692679,20.456779965393682
1151,680718,"Barger, Addison",2218,51.9,0.26,0.193,0.31,0.453,0.336,0.344,0.271,74,285,90.4,11.7,2320,94,94.16,123,582,569,0.20000000000000284,6.47,114,145,121,151,292,324,298,"1.996","-1.996","74.9","7.1",315,219,38,26,1,9,67,21.3,28,8.9,1.55689,1.04098,0.66018,-0.29398,"92.9",166,46.57534246575342,11.415525114155251,7.936507936507936,5.72,-1.03,-0.03,2.83,0.325,25,"-0.173414422",0.338,0.455,"0.173414422",-0.011,-0.013000000000000012,-0.002,-0.008,21.1,"37.0",4.284038287923358,6.413684470480313,28.08109438115655,0.43771626297577854,32.36743277190339,25.024861061006312
1101,676391,"Clement, Ernie",2083,52.9,0.33,0.133,0.348,0.463,0.364,0.339,0.297,104,315,87.5,19.1,2303,93.3,93.38,54,582,519,0.10000000000000853,6.45,107,151,111,146,295,318,286,"-4.367","4.367","66.0","6.6",348,296,71,27,3,3,26,7.5,21,6,1.64831,0.99304,0.67217,0.26327,"91.1",172,30.743243243243246,3.040540540540541,2.586206896551724,5.74,-0.6,0.14,2.58,0.377,9,"0.396639419",0.351,0.419,"-0.396639419",0.033,0.026000000000000023,0.044,0.025,9.3,"37.4",7.19051943849906,5.000700717078341,31.12280052567114,0.5670840787119857,36.52224585941939,25.791221268985385
999,665926,"Giménez, Andrés",1718,58.1,0.191,0.137,0.21,0.328,0.278,0.323,0.25,39,204,85.4,12.5,2293,93.8,93.96,118,523,476,0.20000000000000284,6.52,113,145,105,151,284,318,296,"11.28","-11.28","66.4","6.5",236,166,24,8,1,6,42,17.8,18,7.6,1.56271,1.05093,0.70326,-0.31963,"90.4",170,30.909090909090907,4.242424242424243,2.9661016949152543,5.67,-0.9,-0.07,2.69,0.288,7,"-1.129129129",0.342,0.37,"1.129129129",-0.059,-0.05400000000000005,-0.042,-0.045,22.6,"36.3",3.539570550161539,11.55354096033963,31.075590349710716,0.39087301587301587,38.33455066313725,22.64099564373541
758,664702,"Straw, Myles",1176,64.5,0.23,0.135,0.27,0.365,0.289,0.29,0.232,41,178,83.8,14,2287,93.2,93.29,67,381,377,0.09999999999999432,6.44,102,148,105,146,298,314,278,"7.594","-7.594","64.5","6.4",206,152,26,10,1,4,38,18.4,15,7.3,1.59005,1.05425,0.65882,0.01062,"90.3",177,29.605263157894733,4.605263157894736,3.3980582524271843,5.82,0.09,0.11,2.65,0.292,7,"-1.001846966",0.294,0.365,"1.001846966",-0.002,-0.0020000000000000018,0,-0.001,17.6,"39.7",2.2607947436964855,6.082772326545413,34.73436819086444,0.37110481586402266,34.49995571668393,22.818887880033525
718,662139,"Varsho, Daulton",1294,55.5,0.219,0.235,0.236,0.455,0.318,0.357,0.251,41,187,90.8,28.5,2325,94.2,94.39,114,406,312,0.20000000000000284,6.5,113,145,108,151,291,322,295,"-3.349","3.349","74.3","7.4",206,135,21,8,0,12,53,25.7,15,7.3,1.48313,1.10876,0.67227,-0.30385,"93.1",194,47.40740740740741,14.814814814814813,9.70873786407767,5.72,-0.96,0,2.77,0.286,20,"0.46643454",0.317,0.52,"-0.46643454",-0.032,-0.031000000000000028,-0.065,-0.039,28.1,"37.1",8.77333265370327,3.3938314629224924,28.308628840331174,0.6607142857142857,34.52116482320775,23.393270371589388
