"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
413,665489,"Guerrero Jr., Vladimir",2821,14.6,0.26,0.156,0.292,0.417,0.321,0.36,0.289,25,96,90.4,10.3,1670,85.7,85.96,55,193,220,0.29999999999999716,6.61,107,152,125,147,305,327,293,"-4.81","4.81","77.1","8.1",104,76,18,3,0,4,20,19.2,7,6.7,2.79584,0.34527,1.12155,0.23322,"94.3",128,47.368421052631575,13.157894736842104,9.615384615384617,5.7,-0.27,0.13,1.77,0.317,10,"1.16464891",0.344,0.494,"-1.16464891",-0.029,-0.02699999999999997,-0.077,-0.039,28.5,"36.8",7.293878765694584,-16.992389896872403,29.106253133050892,0.5026737967914439,37.21694529914923,42.74694208101364
411,543807,"Springer, George",2573,16,0.227,0.167,0.3,0.394,0.344,0.335,0.204,15,66,83.9,15.6,1731,85.5,85.6,53,190,221,0.09999999999999432,6.5,109,152,123,147,301,325,291,"-2.508","2.508","70.0","7.9",87,43,10,2,0,3,26,29.9,16,18.4,2.83221,0.32312,1.1526,0.40842,"91.2",120,34.883720930232556,11.627906976744185,5.747126436781609,5.69,-0.59,0.22,1.88,0.379,5,"0.610218978",0.37,0.361,"-0.610218978",0.023,0.009000000000000008,0.033,0.009,27.9,"35.6",17.534694887448453,-8.74752628361302,37.76731389068609,0.41711229946524064,36.91670443110602,27.130389476131338
370,680718,"Barger, Addison",2218,16.7,0.226,0.286,0.211,0.512,0.338,0.42,0.304,19,84,92.8,9.6,1715,86.1,86.35,50,172,198,0.20000000000000284,6.53,112,144,120,150,293,324,299,"-5.48","5.48","74.7","8.1",91,64,9,3,0,7,20,22,7,7.7,2.79762,0.30374,1.14595,-1.05622,"93.7",147,54.6875,14.0625,9.89010989010989,5.66,-1.79,-0.41,1.95,0.286,9,"1.481081081",0.357,0.643,"-1.481081081",-0.078,-0.07100000000000001,-0.131,-0.082,29.1,"35.3",12.986303941728323,-12.90727799104205,28.813397162177694,0.5882352941176471,37.044172934389096,37.11192432845378
282,664770,"Lukes, Nathan",1916,14.7,0.286,0.19,0.304,0.476,0.328,0.301,0.257,24,84,84.9,6,1601,86.6,86.86,26,145,137,0.30000000000001137,6.52,117,147,110,151,285,320,298,"-5.828","5.828","67.7","7.1",86,73,14,7,0,3,12,14,1,1.2,2.7434,0.32004,1.09819,-1.06762,"91.4",131,34.72222222222222,9.722222222222223,8.13953488372093,5.72,-1.86,-0.28,1.84,0.294,7,"2.066666667",0.266,0.44,"-2.066666667",0.029,0.02799999999999997,0.036,0.027,17.9,"36.7",13.995637146105096,-2.317782296942031,31.918978845154275,0.45714285714285713,41.36264299414488,32.4528016547361
262,665926,"Giménez, Andrés",1718,15.3,0.232,0.061,0.254,0.293,0.238,0.305,0.295,19,82,86.4,8.3,1666,86,86.15,43,152,110,0.20000000000000284,6.5,114,145,107,150,284,319,296,"1.712","-1.712","68.8","7.5",87,72,16,2,0,1,12,13.8,3,3.4,2.76851,0.34282,1.18517,-1.11851,"91.1",143,27.77777777777778,1.3888888888888888,1.1494252873563218,5.69,-1.76,-0.37,1.83,0.253,1,"-0.653435115",0.313,0.397,"0.653435115",-0.063,-0.06,-0.104,-0.067,28.3,"36.1",13.08951539414404,-6.700758400768971,32.26596400183585,0.5369127516778524,42.63631883884071,35.756583803334415
255,666182,"Bichette, Bo",2421,10.5,0.333,0.267,0.351,0.6,0.411,0.369,0.297,25,75,87.8,15.2,1717,84.9,85.04,38,152,103,0.09999999999999432,6.57,109,150,123,148,304,323,289,"-6.887","6.887","70.4","8.1",79,62,15,5,0,5,13,16.5,4,5.1,2.81655,0.3872,1.17957,-0.03713,"92.1",141,38.70967741935484,11.29032258064516,8.860759493670885,5.77,0.07,0.18,1.81,0.367,7,"2.700784314",0.333,0.534,"-2.700784314",0.036,0.033999999999999975,0.066,0.042,25,"36.7",15.637823587313159,-13.646583560064954,38.88030265698152,0.46938775510204084,34.98214168149351,34.65069174276312
250,676391,"Clement, Ernie",2083,12,0.281,0.135,0.32,0.416,0.299,0.266,0.263,25,89,83.4,17.4,1674,84.8,84.99,35,168,82,0.20000000000000284,6.53,109,151,113,146,296,318,285,"-0.536","0.536","66.1","7.5",91,76,15,9,0,1,14,15.4,1,1.1,2.80556,0.39639,1.14728,-0.03824,"90.4",132,25.333333333333336,1.3333333333333335,1.098901098901099,5.78,0.23,0.24,1.69,0.286,1,"0.2144",0.269,0.346,"-0.2144",0.018,0.01699999999999996,0.07,0.033,20.8,"38.3",15.841731403994203,-12.317924362291805,34.64834066982134,0.5792682926829268,37.989084504466696,37.242312355871924
183,672386,"Kirk, Alejandro",2301,8,0.333,0.275,0.325,0.608,0.424,0.472,0.335,17,51,93.3,8.9,1664,85.1,85.25,22,99,84,0.20000000000000284,6.59,108,151,125,148,301,322,287,"-7.942","7.942","72.9","7.6",58,44,11,2,0,4,8,13.8,4,6.9,2.84202,0.35017,1.14508,0.05973,"94.4",149,61.36363636363637,18.181818181818183,13.793103448275861,5.76,0.03,0.14,1.72,0.397,8,"4.33989071",0.414,0.659,"-4.33989071",-0.002,-0.01699999999999996,-0.051,-0.048,22.2,"37.3",12.658053057150985,-5.013792617934491,26.24398658803117,0.6836734693877551,39.31213364761291,35.72320901088459
172,662139,"Varsho, Daulton",1294,13.3,0.315,0.574,0.273,0.889,0.481,0.415,0.279,17,54,90.8,9.4,1596,86.6,86.84,31,100,72,0.20000000000000284,6.58,111,144,112,150,291,322,297,"-9.192","9.192","74.1","8.5",57,41,4,3,2,8,15,26.3,1,1.8,2.75686,0.32556,1.07215,-0.93331,"93.7",156,45,20,14.035087719298245,5.66,-1.64,-0.47,1.83,0.316,8,"5.344186047",0.293,0.718,"-5.344186047",0.036,0.02300000000000002,0.171,0.066,31,"37.2",18.593686452493593,-13.290164756613727,30.76537874323398,0.5789473684210527,39.466088698638245,35.04337669811755
168,623993,"Santander, Anthony",1020,16.5,0.167,0.095,0.222,0.262,0.228,0.256,0.203,7,42,88.2,16.5,1661,86.1,86.35,22,85,83,0.20000000000000284,6.6,110,146,128,151,294,323,297,"1.696","-1.696","70.7","7.6",46,28,5,1,0,1,14,30.4,4,8.7,2.77577,0.33232,1.16375,-1.16375,"91.5",149,35.714285714285715,3.571428571428571,2.1739130434782608,5.68,-1.1,-0.27,1.81,0.239,1,"-1.00952381",0.272,0.3,"1.00952381",-0.036,-0.03300000000000003,-0.038,-0.028,25.9,"35.7",9.900480077108028,-16.894995222690078,24.182939502565404,0.6626506024096386,40.11604938399911,38.691249607790574
