"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
619,665489,"Guerrero Jr., Vladimir",2821,21.9,0.247,0.182,0.265,0.429,0.305,0.362,0.293,38,154,90.9,9.6,2488,85.5,85.66,76,278,341,0.20000000000000284,6.46,108,151,124,147,304,325,294,"-5.983","5.983","75.3","7.9",161,124,24,7,0,7,30,18.6,7,4.3,2.9901,0.15791,-0.63715,-0.48119,"94.0",152,47.58064516129033,15.32258064516129,11.801242236024844,5.67,-1.35,0.5,2,0.28,19,"0.966558966",0.324,0.524,"-0.966558966",-0.046,-0.043999999999999984,-0.095,-0.057,27.3,"35.8",4.341453165049172,-10.09160836082212,26.71443258112965,0.45018450184501846,40.59869766907774,39.25893294276653
604,543807,"Springer, George",2573,23.5,0.308,0.273,0.376,0.58,0.391,0.342,0.254,44,143,87.4,14.2,2464,85.4,85.59,101,263,341,0.19999999999998863,6.48,109,151,123,146,301,324,291,"-17.191","17.191","69.4","7.7",156,102,23,12,0,9,42,26.9,9,5.8,3.03278,0.11963,-0.63017,-0.40698,"92.4",163,38.46153846153847,16.346153846153847,10.897435897435898,5.71,-1.09,0.46,2.01,0.346,17,"2.846192053",0.297,0.512,"-2.846192053",0.054,0.04899999999999999,0.068,0.049,38.4,"36.5",15.155181607947359,-3.865702647412804,35.5346081778922,0.5296442687747036,39.63444948847633,25.084290249946225
603,672386,"Kirk, Alejandro",2301,26.2,0.23,0.099,0.239,0.329,0.265,0.312,0.25,35,152,89,15.8,2472,85.4,85.53,65,292,311,0.09999999999999432,6.44,109,150,124,147,302,320,287,"2.141","-2.141","71.4","7.5",164,137,26,6,0,3,17,10.4,10,6.1,3.00741,0.14354,-0.62743,-0.4336,"92.5",149,40.87591240875913,8.02919708029197,6.707317073170732,5.73,-1.18,0.51,1.89,0.274,11,"-0.355058043",0.295,0.421,"0.355058043",-0.02,-0.020999999999999963,-0.092,-0.047,22.3,"37.3",11.491426333638367,-2.5070406867516843,23.720728062758045,0.6770833333333334,42.246343700823594,35.10156751863648
565,676391,"Clement, Ernie",2083,27.1,0.226,0.085,0.237,0.311,0.244,0.259,0.243,37,164,83.7,15.4,2494,85,85.08,65,309,256,0.09999999999999432,6.42,107,151,111,146,294,318,286,"6.29","-6.29","62.0","7.1",173,146,31,2,0,4,22,12.7,5,2.9,3.04037,0.14438,-0.66663,-0.44478,"90.6",149,19.17808219178082,1.36986301369863,1.1560693641618496,5.67,-1.2,0.51,2.01,0.247,2,"-1.113274336",0.264,0.33,"1.113274336",-0.017,-0.017000000000000015,-0.019,-0.015,21,"35.8",13.199223317559712,-5.533472800838199,32.08080014727178,0.5656565656565656,39.546387966663914,33.89319731601933
552,666182,"Bichette, Bo",2421,22.8,0.31,0.181,0.348,0.491,0.352,0.357,0.303,53,171,89.3,11.6,2497,85.3,85.46,71,312,240,0.20000000000000284,6.45,109,149,123,147,304,321,289,"-7.466","7.466","68.1","7.8",180,143,32,16,0,5,30,16.7,6,3.3,3.04496,0.11085,-0.62647,-0.53742,"92.7",163,43.35664335664335,9.79020979020979,7.777777777777778,5.75,-1.56,0.61,1.87,0.333,14,"1.352536232",0.331,0.493,"-1.352536232",0.007,0.0020000000000000018,-0.002,-0.005,22.8,"37.3",9.754546160124606,-7.503797200967825,35.649595781515906,0.4782608695652174,38.963817357545864,30.42086521939117
415,680718,"Barger, Addison",2218,18.7,0.313,0.302,0.367,0.615,0.407,0.37,0.292,30,96,94.1,11.5,2444,85.3,85.51,72,209,206,0.20000000000000284,6.43,115,145,119,150,292,324,298,"-6.005","6.005","74.9","8.0",101,68,17,5,0,8,28,27.7,3,3,3.04805,0.10527,-0.56499,0.27375,"95.5",142,58.82352941176471,13.23529411764706,8.91089108910891,5.78,-0.77,-0.03,2.06,0.347,9,"1.446987952",0.327,0.54,"-1.446987952",0.021,0.019999999999999962,0.075,0.037,34.4,"38.0",12.312533003628603,-14.429110852868988,29.59072566123848,0.5365853658536586,32.21156611724242,36.60617363898717
303,665926,"Giménez, Andrés",1718,17.6,0.27,0.081,0.328,0.351,0.308,0.324,0.268,20,74,85.3,6.1,2379,85.1,85.12,45,167,136,0,6.43,113,145,106,150,283,316,295,"-0.201","0.201","67.7","7.2",83,59,16,3,0,1,16,19.3,5,6,3.05706,0.12803,-0.53487,0.09897,"90.8",135,29.310344827586203,5.172413793103448,3.614457831325301,5.64,-0.24,-0.1,1.97,0.337,3,"0.066336634",0.344,0.355,"-0.066336634",0.002,-0.006999999999999951,-0.004,-0.016,26.9,"34.5",10.660431358488289,-3.8638456905136955,31.869026872215212,0.5723270440251572,39.90323211323612,33.57101369216881
285,664770,"Lukes, Nathan",1916,14.9,0.213,0.187,0.235,0.4,0.271,0.273,0.236,16,75,84.6,8.9,2473,85.6,85.78,30,154,131,0.20000000000000284,6.41,116,146,109,150,285,319,298,"1.113","-1.113","66.9","6.7",78,56,10,2,0,4,20,25.6,2,2.6,2.96204,0.17063,-0.52876,0.21802,"90.5",143,26.785714285714285,5.357142857142857,3.8461538461538463,5.72,-0.86,0.07,2.02,0.234,3,"-0.390526316",0.256,0.375,"0.390526316",-0.023,-0.021999999999999992,0.025,-0.002,19.5,"36.9",9.821056039319553,4.7121927174454115,33.06069486239097,0.4827586206896552,37.10117920476038,28.738136379761272
276,662139,"Varsho, Daulton",1294,21.3,0.193,0.123,0.263,0.316,0.232,0.212,0.169,11,57,79.6,24.1,2458,85.3,85.5,51,150,126,0.20000000000000284,6.43,112,144,108,150,291,322,295,"2.487","-2.487","71.5","8.2",62,39,6,4,0,1,20,32.3,3,4.8,3.02725,0.13449,-0.59051,0.23599,"91.5",132,20.51282051282051,5.128205128205128,3.225806451612903,5.6,-0.57,-0.11,2.13,0.226,2,"-0.901086957",0.213,0.258,"0.901086957",0.024,0.013000000000000012,0.058,0.02,34,"34.6",14.956123659390537,-13.70919168203546,31.229702338431807,0.5833333333333334,35.30038720829097,33.28395253536897
214,664702,"Straw, Myles",1176,18.2,0.264,0.038,0.326,0.302,0.285,0.29,0.259,14,53,86,13.2,2430,85,85.08,15,89,125,0.09999999999999432,6.4,107,150,111,147,299,313,277,"-0.455","0.455","63.7","7.1",58,43,12,2,0,0,10,17.2,5,8.6,3.08729,0.0908,-0.55929,-0.1092,"90.5",142,23.25581395348837,2.3255813953488373,1.7241379310344827,5.77,-0.53,0.47,1.95,0.328,1,"0.212616822",0.323,0.325,"-0.212616822",0.005,0.0050000000000000044,-0.023,-0.005,16.9,"39.1",8.148339943483528,0.956222853858684,35.807814174905815,0.6190476190476191,36.5194428762291,28.52355196125467
