"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
346,660271,"Ohtani, Shohei",3168,10.9,0.3,0.287,0.436,0.588,0.433,0.398,0.257,24,80,94.2,17,2582,81.8,81.81,72,169,177,0,6.33,120,147,132,152,301,325,306,"-12.305","12.305","73.0","8.4",98,46,15,2,0,7,34,34.7,18,18.4,4.16228,-0.73136,-0.67278,0.42438,"93.9",132,54.347826086956516,19.565217391304348,9.183673469387756,5.84,-1.01,-0.1,1.71,0.429,9,"3.556358382",0.393,0.535,"-3.556358382",0.043,0.035999999999999976,0.053,0.035,42.6,"39.3",22.03536320058797,-12.402979715390575,40.07229514309168,0.3630952380952381,39.79498947481322,35.03701690969525
296,518692,"Freeman, Freddie",2703,11,0.231,0.212,0.323,0.442,0.303,0.277,0.214,12,52,91.8,18.8,2563,81.2,81.18,45,132,164,0,6.3,117,146,127,150,295,322,303,"-1.52","1.52","67.4","7.4",58,33,5,5,0,2,21,36.2,2,3.4,4.20747,-0.72776,-0.69736,0.45595,"92.1",147,48.484848484848484,9.090909090909092,5.172413793103448,5.85,-1.08,-0.04,1.79,0.276,3,"0.513513514",0.265,0.368,"-0.513513514",0.017,0.01100000000000001,0.074,0.026,34.1,"40.5",17.687437126377706,-8.952009981337524,45.44389980075117,0.3178294573643411,39.356627183593304,34.05897548201892
281,571970,"Muncy, Max",1914,14.7,0.116,0.023,0.192,0.14,0.169,0.259,0.196,5,43,89,2.8,2566,80.8,80.89,32,99,182,0.10000000000000853,6.37,114,146,125,152,298,323,302,"3.955","-3.955","67.6","7.4",49,26,4,1,0,0,18,36.7,4,8.2,4.25609,-0.73714,-0.75743,0.63007,"91.7",94,38.46153846153847,7.6923076923076925,4.081632653061225,5.83,-1.5,-0.09,1.93,0.204,2,"-1.40747331",0.275,0.295,"1.40747331",-0.08,-0.07100000000000004,-0.155,-0.09,32.3,"39.3",23.702339413368062,-11.396267900025633,36.39247690085636,0.2872340425531915,39.05495474963971,43.976313698944516
214,681624,"Pages, Andy",2585,8.3,0.34,0.226,0.429,0.566,0.397,0.357,0.312,18,53,84.6,14.5,2581,81,80.98,32,105,109,0,6.31,108,151,122,147,302,322,295,"-4.373","4.373","68.4","8.3",55,38,12,3,0,3,15,27.3,2,3.6,4.17668,-0.67009,-0.70906,-0.30775,"91.5",145,28.947368421052634,7.894736842105263,5.454545454545454,5.86,-0.66,0.24,1.9,0.364,3,"2.043457944",0.337,0.494,"-2.043457944",0.028,0.02699999999999997,0.072,0.04,30.5,"39.9",14.818796443654005,-13.93454801820432,41.130432857460995,0.47619047619047616,39.593217968492645,39.71268460705198
213,605141,"Betts, Mookie",2780,7.7,0.145,0.127,0.136,0.273,0.195,0.285,0.238,8,55,87,16,2501,81.2,81.27,19,92,121,0.09999999999999432,6.38,106,150,122,145,303,322,294,"1.801","-1.801","67.0","7.4",57,46,5,1,0,2,9,15.8,2,3.5,4.17174,-0.68202,-0.65231,-0.26665,"92.3",164,32.608695652173914,6.521739130434782,5.263157894736842,5.89,-0.54,0.33,1.79,0.175,3,"-0.845539906",0.265,0.4,"0.845539906",-0.093,-0.09000000000000002,-0.127,-0.09,20.7,"40.8",12.755457571293688,-12.935960099048996,35.60817520746711,0.6,38.76404751740837,38.41340313787315
207,624424,"Conforto, Michael",2049,10.1,0.205,0.077,0.368,0.282,0.24,0.257,0.172,8,39,91.1,11.8,2580,81.1,81.01,32,82,125,-0.09999999999999432,6.27,116,147,124,152,294,321,301,"0.993","-0.993","73.4","7.9",43,20,7,0,0,1,20,46.5,2,4.7,4.24295,-0.74609,-0.70319,0.61874,"92.1",116,55.00000000000001,20,9.30232558139535,5.83,-1.7,-0.08,1.83,0.256,4,"-0.479710145",0.229,0.365,"0.479710145",0.033,0.026999999999999996,-0.083,-0.017,39,"40.0",18.743467150680246,-14.362614249406555,34.614060509820774,0.38271604938271603,36.6800653916824,37.073015466513795
203,669257,"Smith, Will",2177,9.3,0.189,0.081,0.269,0.27,0.246,0.278,0.209,7,37,84.3,7.6,2507,81.1,81.11,15,59,144,0,6.32,107,150,122,146,304,321,294,"1.273","-1.273","64.1","7.5",41,26,4,3,0,0,11,26.8,3,7.3,4.25167,-0.70401,-0.61025,-0.10746,"91.3",169,30.76923076923077,7.6923076923076925,4.878048780487805,5.85,-0.56,0.27,1.94,0.268,2,"-0.627093596",0.286,0.333,"0.627093596",-0.02,-0.01799999999999996,-0.063,-0.032,25.4,"42.6",14.955846693812692,-5.817666963753972,36.695468707640416,0.5263157894736842,37.346830545165176,36.44497099832335
197,606192,"Hernández, Teoscar",2428,8.1,0.218,0.364,0.171,0.582,0.339,0.291,0.19,12,55,86.1,15.6,2520,81.6,81.58,38,108,89,0,6.33,108,148,120,143,304,322,296,"-4.225","4.225","71.2","8.1",58,41,4,2,0,6,15,25.9,1,1.7,4.06416,-0.61446,-0.65718,-0.17072,"91.5",166,31.70731707317073,17.073170731707318,12.068965517241379,5.86,-0.42,0.23,1.84,0.241,7,"2.144670051",0.225,0.439,"-2.144670051",0.028,0.015999999999999986,0.143,0.048,35.2,"39.0",14.213789192729292,-12.285826870933597,32.03186671049295,0.5047619047619047,39.38484352869601,38.8759882797641
186,669242,"Edman, Tommy",1571,11.8,0.204,0.037,0.282,0.241,0.208,0.285,0.246,11,54,91.7,6.3,2498,80.8,80.86,29,93,93,0.10000000000000853,6.33,111,148,110,149,293,319,297,"2.657","-2.657","69.2","7.4",57,39,9,2,0,0,16,28.1,2,3.5,4.24618,-0.72827,-0.63427,0.63427,"93.6",119,48.717948717948715,5.128205128205128,3.508771929824561,5.87,-0.45,-0.02,1.79,0.228,2,"-1.428494624",0.278,0.353,"1.428494624",-0.042,-0.05000000000000002,-0.112,-0.077,31.2,"41.6",13.210516854056428,-11.553491848257567,27.666556046211813,0.6451612903225806,35.63939230794155,37.1348541635991
131,571771,"Hernández, Enrique",1302,10.1,0.074,0.111,0.083,0.185,0.108,0.136,0.104,2,27,88.8,12.2,2487,81.2,81.33,27,69,62,0.09999999999999432,6.44,107,152,120,147,302,320,291,"3.897","-3.897","68.2","7.8",27,13,1,0,0,1,14,51.9,0,0,4.23664,-0.73977,-0.58823,-0.20608,"92.0",127,23.076923076923077,23.076923076923077,11.11111111111111,5.89,-0.6,0.21,1.73,0.074,3,"-2.97480916",0.104,0.223,"2.97480916",-0.03,-0.03,-0.038,-0.028,39.1,"43.8",14.712973833527181,-11.93884042192654,29.671804340328805,0.5588235294117647,39.88374098276149,40.0337315445636
