"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
3153,660271,"Ohtani, Shohei",3153,100,0.279,0.352,0.31,0.631,0.418,0.439,0.286,188,674,95.1,15.1,2280,89.6,89.73,476,1422,1731,0.10000000000000853,6.36,119,146,132,152,301,326,306,"-72","72","74.1","7.9",776,466,87,28,10,63,210,27.1,95,12.2,2.36891,0.51248,0.33757,-0.14586,"94.4",169,59.354838709677416,24.086021505376344,14.432989690721648,5.78,-0.54,-0.11,2.29,0.37,112,"2.283539486",0.377,0.677,"-2.283539486",-0.007,-0.007000000000000006,-0.046,-0.021,33.5,"37.7",14.535007700387055,-1.7712452754155115,36.816476266517036,0.5010706638115632,39.556588525709344,27.479712518348
2760,605141,"Betts, Mookie",2760,100,0.256,0.142,0.26,0.398,0.315,0.337,0.277,168,656,89.1,18.2,2314,90.5,90.67,182,1153,1607,0.20000000000000284,6.39,107,151,122,146,302,322,293,"-5.176","5.176","66.6","6.9",736,589,118,27,3,20,77,10.5,66,9,2.20082,0.61809,0.34245,0.00229,"91.7",174,35.993208828522924,5.263157894736842,4.211956521739131,5.78,-0.69,0.23,2.28,0.323,31,"0.187536232",0.344,0.428,"-0.187536232",-0.021,-0.020999999999999963,-0.03,-0.022,15.8,"38.0",8.223152371429064,-3.734192926208354,34.55770786948236,0.5215794306703397,38.51736698032522,32.16784992567517
2682,518692,"Freeman, Freddie",2682,100,0.288,0.204,0.336,0.492,0.365,0.362,0.275,178,618,91,14.9,2287,89.8,89.93,387,1389,1293,0.10000000000000853,6.35,116,146,128,151,295,322,303,"-26.84","26.84","68.4","6.8",692,479,106,44,2,26,144,20.8,61,8.8,2.32724,0.53859,0.32407,-0.18318,"92.1",167,45.81589958158996,11.297071129707113,7.803468208092486,5.78,-0.72,-0.09,2.38,0.357,54,"1.000745712",0.348,0.489,"-1.000745712",0.013,0.009000000000000008,0.003,0.003,27.9,"37.8",9.69640743860903,2.0288705968334035,42.69073182450169,0.4342395297575312,39.701169306009014,26.330919664840824
2581,681624,"Pages, Andy",2581,100,0.257,0.176,0.291,0.433,0.314,0.315,0.258,162,631,88.4,17.1,2319,90.1,90.23,292,1376,1205,0.10000000000000853,6.37,108,151,122,147,302,321,293,"-3.627","3.627","70.6","7.8",678,493,106,28,1,27,146,21.5,29,4.3,2.28019,0.58005,0.30356,0.11871,"91.4",164,37.270875763747455,7.942973523421588,5.752212389380531,5.77,-0.84,0.15,2.37,0.297,39,"0.140526928",0.3,0.426,"-0.140526928",-0.001,-0.0030000000000000027,0.007,-0.001,21.2,"37.8",7.133481480164736,-3.3245586909988374,40.67407093048378,0.4540740740740741,38.39871218905988,30.801532376706366
2410,606192,"Hernández, Teoscar",2410,100,0.25,0.211,0.286,0.461,0.319,0.332,0.26,144,577,90.1,9.7,2303,89.7,89.92,388,1219,1191,0.20000000000000284,6.39,108,150,122,146,303,323,295,"-4.261","4.261","71.0","7.7",616,428,83,30,1,30,154,25,30,4.9,2.33628,0.53333,0.29468,0.08879,"92.2",154,46.26168224299065,11.682242990654206,8.116883116883116,5.76,-0.92,0.22,2.27,0.288,50,"0.176804979",0.301,0.463,"-0.176804979",-0.01,-0.013000000000000012,-0.002,-0.013,31.8,"37.3",9.747819525553542,1.2569225744816797,31.75812254202072,0.5242553191489362,39.12153607038216,29.61700747018041
2158,669257,"Smith, Will",2158,100,0.292,0.186,0.349,0.478,0.38,0.383,0.281,121,414,91.3,17.9,2307,90,90.22,189,845,1313,0.20000000000000284,6.42,109,151,122,147,305,321,293,"-28.087","28.087","67.8","7.2",493,313,81,21,1,18,106,21.5,67,13.6,2.29096,0.59065,0.27654,0.073,"92.2",190,46.96485623003195,11.501597444089457,7.302231237322515,5.76,-0.9,0.26,2.31,0.396,36,"1.301529194",0.387,0.501,"-1.301529194",0.011,0.009000000000000008,-0.023,-0.003,22.4,"38.0",10.988749682315824,2.0558495007239754,33.9179463021176,0.6046511627906976,37.57124529426516,30.285409041952914
2049,624424,"Conforto, Michael",2049,100,0.199,0.134,0.247,0.333,0.287,0.341,0.246,83,418,89.9,12.9,2296,89.8,89.96,230,924,1125,0.20000000000000284,6.36,118,147,124,151,294,321,300,"11.365","-11.365","72.6","7.2",486,300,51,20,0,12,121,24.9,56,11.5,2.3279,0.56257,0.35761,-0.26829,"91.8",155,44.14715719063545,9.698996655518394,5.967078189300412,5.73,-1.3,-0.11,2.36,0.305,29,"-0.55466081",0.347,0.428,"0.55466081",-0.047,-0.04199999999999998,-0.095,-0.054,24.9,"36.8",9.272229743030199,3.259709150150098,31.74322483430447,0.45695364238410596,37.49948589164622,26.72006449804271
1892,571970,"Muncy, Max",1892,100,0.233,0.216,0.256,0.449,0.355,0.38,0.247,85,365,91,19.1,2292,88.8,88.93,195,790,1102,0.10000000000000853,6.39,115,145,126,152,297,322,301,"-17.772","17.772","68.9","6.9",448,271,50,12,2,21,99,22.1,71,15.8,2.49117,0.46704,0.2162,-0.13964,"92.5",172,50.184501845018445,13.653136531365314,8.258928571428571,5.76,-1.06,-0.1,2.25,0.364,37,"0.939323467",0.376,0.506,"-0.939323467",-0.014,-0.01200000000000001,-0.057,-0.025,24.7,"37.8",16.86713496801876,-2.566977270464511,34.60207049328569,0.4745308310991957,38.386241672580624,36.708871064711495
1558,669242,"Edman, Tommy",1558,100,0.227,0.155,0.243,0.382,0.284,0.323,0.274,92,406,88.1,12.3,2233,89.5,89.63,160,765,793,0.09999999999999432,6.38,112,148,111,149,293,318,296,"4.736","-4.736","69.2","6.8",440,333,60,16,1,15,79,18,22,5,2.37999,0.51774,0.42411,-0.40744,"92.2",147,40.303030303030305,5.151515151515151,3.8636363636363633,5.7,-0.61,-0.04,2.26,0.273,17,"-0.303979461",0.32,0.419,"0.303979461",-0.047,-0.046999999999999986,-0.037,-0.039,20.9,"36.0",8.660041383523891,0.12370382364207497,26.33336615649537,0.5516304347826086,36.17424978325193,28.648358376128783
1284,571771,"Hernández, Enrique",1284,100,0.213,0.155,0.26,0.368,0.273,0.283,0.217,62,291,89.3,17.3,2262,88.8,88.98,204,662,622,0.20000000000000284,6.38,106,150,120,146,302,320,290,"11.172","-11.172","69.2","7.4",320,208,39,12,0,11,90,28.1,22,6.9,2.45473,0.49071,0.27437,-0.0702,"91.7",161,38.64734299516908,9.178743961352657,5.9375,5.79,-0.35,0.15,2.25,0.263,19,"-0.870093458",0.269,0.384,"0.870093458",-0.004,-0.006000000000000005,-0.016,-0.01,30.8,"38.7",9.344802873301072,-2.156808295255637,29.354213102100196,0.521875,39.852496276929024,31.38494337121482
