"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1621,605141,"Betts, Mookie",2760,58.7,0.281,0.139,0.28,0.419,0.347,0.376,0.306,101,360,90.4,18,2313,94.1,94.29,58,634,987,0.20000000000000284,6.42,107,151,122,146,303,322,293,"-2.107","2.107","66.4","6.6",421,337,72,17,3,9,29,6.9,52,12.4,1.56661,1.01725,0.69887,0.27449,"91.7",184,38.57566765578635,4.747774480712167,3.800475059382423,5.79,-0.77,0.12,2.57,0.371,16,"0.129981493",0.394,0.469,"-0.129981493",-0.025,-0.02300000000000002,-0.05,-0.029,9.1,"38.0",5.317562333263479,1.7452543701612864,33.755355265298945,0.5158069883527454,37.392087583030424,28.32056644781212
1597,660271,"Ohtani, Shohei",3153,50.7,0.284,0.38,0.278,0.665,0.435,0.483,0.309,95,334,97.2,17.9,2306,94.1,94.26,189,701,896,0.20000000000000284,6.38,119,146,132,152,301,326,306,"-33.379","33.379","75.0","7.4",387,246,44,12,2,37,89,23,49,12.7,1.572,1.01273,0.68626,-0.10933,"94.8",188,64.75409836065575,28.278688524590162,17.829457364341085,5.81,-0.52,-0.04,2.76,0.378,69,"2.09010645",0.401,0.772,"-2.09010645",-0.025,-0.02300000000000002,-0.107,-0.048,27,"38.1",9.105925440879657,7.876534599839453,35.08567352084459,0.5780346820809249,38.18131899688016,21.10896849225901
1470,681624,"Pages, Andy",2581,57,0.24,0.162,0.271,0.402,0.301,0.321,0.254,83,346,89.5,14.6,2303,94,94.22,137,769,701,0.20000000000000284,6.41,108,151,122,146,301,321,293,"7.864","-7.864","71.4","7.6",378,270,55,14,0,14,81,21.4,18,4.8,1.61413,0.97735,0.72213,0.39414,"91.5",166,40.67164179104478,8.208955223880597,5.82010582010582,5.76,-0.83,0.03,2.67,0.292,22,"-0.534965986",0.309,0.428,"0.534965986",-0.014,-0.017000000000000015,-0.026,-0.02,17.8,"37.6",3.5220535622860605,1.5615325393270225,40.111655413672786,0.4175531914893617,37.04949709848614,26.790843982632317
1445,518692,"Freeman, Freddie",2682,53.9,0.298,0.209,0.321,0.507,0.374,0.391,0.3,111,373,91.6,14.2,2323,94,94.18,184,806,639,0.20000000000000284,6.36,116,146,128,151,295,322,303,"-11.375","11.375","69.0","6.5",413,308,69,24,0,18,66,16,36,8.7,1.57862,1.00814,0.63919,-0.17055,"92.5",179,48.534201954397396,12.37785016286645,9.200968523002421,5.79,-0.7,0,2.77,0.363,38,"0.787197232",0.366,0.546,"-0.787197232",-0.002,-0.0030000000000000027,-0.039,-0.017,22.8,"38.0",5.4907542764540205,7.982283045144968,41.76247600253205,0.4550063371356147,38.78882926976952,22.409313355091903
1259,606192,"Hernández, Teoscar",2410,52.2,0.264,0.219,0.275,0.483,0.336,0.38,0.298,76,288,92.2,8.7,2299,94,94.24,148,630,629,0.20000000000000284,6.41,108,151,122,146,303,323,295,"0.805","-0.805","70.7","7.4",309,237,44,16,1,15,53,17.2,17,5.5,1.6086,0.97874,0.71954,0.43252,"92.3",164,51.47679324894515,12.658227848101266,9.70873786407767,5.77,-0.93,0.1,2.64,0.305,30,"-0.063939635",0.342,0.535,"0.063939635",-0.034,-0.03700000000000003,-0.052,-0.044,23.5,"37.6",5.260236538271138,10.99414537916871,30.753941057651744,0.5173553719008265,37.89598997867031,23.046473665223484
1192,669257,"Smith, Will",2158,55.2,0.303,0.206,0.354,0.509,0.39,0.396,0.296,69,228,94.1,18.2,2308,94.3,94.54,96,499,693,0.20000000000000284,6.46,109,151,122,147,305,321,293,"-8.79","8.79","68.7","6.9",268,173,47,9,1,12,58,21.6,33,12.3,1.53171,1.04227,0.66219,0.34602,"92.5",201,54.33526011560693,13.294797687861271,8.582089552238806,5.76,-0.95,0.16,2.64,0.396,23,"0.737416107",0.39,0.537,"-0.737416107",0.007,0.006000000000000005,-0.028,-0.006,19.2,"38.0",8.06405776163984,7.402107858930405,32.43992000101293,0.60625,36.707126916128644,26.32282835018588
1138,624424,"Conforto, Michael",2049,55.5,0.224,0.158,0.259,0.382,0.328,0.393,0.284,51,228,91.6,13.3,2321,94.2,94.38,105,512,626,0.20000000000000284,6.41,118,147,124,152,293,321,300,"2.875","-2.875","72.1","6.8",274,174,31,12,0,8,55,20.1,41,15,1.55862,1.01993,0.67798,-0.40861,"92.1",181,47.97687861271676,10.404624277456648,6.569343065693431,5.74,-1.24,-0.03,2.71,0.35,18,"-0.252636204",0.403,0.499,"0.252636204",-0.06,-0.05300000000000005,-0.117,-0.065,20.5,"37.3",4.044993364291182,12.997911972026117,30.60289395493625,0.46613545816733065,36.72112555129852,21.267962617005292
926,571970,"Muncy, Max",1892,48.9,0.281,0.31,0.25,0.591,0.44,0.45,0.285,48,171,92.8,25.5,2307,93.7,93.87,59,401,525,0.20000000000000284,6.41,116,145,126,152,297,322,301,"-19.223","19.223","68.6","6.5",226,147,26,6,1,15,26,11.5,50,22.1,1.59375,1.01375,0.63764,-0.29293,"92.5",195,57.82312925170068,15.646258503401361,10.176991150442479,5.77,-0.99,-0.03,2.62,0.447,23,"2.075917927",0.452,0.619,"-2.075917927",-0.004,-0.0050000000000000044,-0.028,-0.01,14.7,"38.1",11.482655254292343,5.977989622763514,33.13847809494606,0.612565445026178,37.290734305493515,30.547302944260007
816,669242,"Edman, Tommy",1558,52.4,0.237,0.166,0.25,0.403,0.308,0.348,0.286,50,211,87,17.2,2290,93.9,94.1,76,405,411,0.19999999999998863,6.41,111,148,111,149,293,319,296,"4.328","-4.328","68.3","6.4",233,174,33,8,0,9,39,16.7,17,7.3,1.60114,0.99796,0.67315,-0.6667,"91.9",167,40.46242774566474,5.780346820809249,4.291845493562231,5.7,-0.7,0.01,2.62,0.302,10,"-0.530392157",0.348,0.449,"0.530392157",-0.049,-0.045999999999999985,-0.046,-0.04,18.8,"35.7",4.843502913793086,8.443399636511828,25.30355552626945,0.48586118251928023,35.56929801820458,23.018865821225745
687,500743,"Rojas, Miguel",1217,56.5,0.276,0.122,0.301,0.398,0.328,0.301,0.249,50,181,86.2,12,2284,93.4,93.56,27,306,381,0.19999999999998863,6.36,107,150,113,146,299,317,286,"-1.03","1.03","65.3","6.5",203,162,34,13,0,3,22,10.8,18,8.9,1.6169,1.00408,0.6845,0.02768,"91.4",160,30.434782608695656,3.1055900621118013,2.4630541871921183,5.82,-0.08,0.11,2.57,0.345,5,"0.14992722",0.321,0.355,"-0.14992722",0.027,0.023999999999999966,0.043,0.027,8.8,"38.9",2.4952809609592053,2.9585976475152975,31.74672161973135,0.4092526690391459,35.69486953327048,28.812758018958544
614,571771,"Hernández, Enrique",1284,47.8,0.239,0.201,0.266,0.44,0.32,0.334,0.245,32,134,92.3,19.2,2261,93.6,93.79,77,308,306,0.20000000000000284,6.45,105,151,120,147,302,320,290,"2.401","-2.401","69.4","7.0",153,101,19,6,0,7,37,24.2,15,9.8,1.60088,1.01464,0.74764,0.18205,"91.8",183,48,10,6.535947712418301,5.78,-0.35,0,2.66,0.307,10,"-0.391042345",0.316,0.463,"0.391042345",-0.006,-0.009000000000000008,-0.023,-0.014,25,"38.3",4.331503872320054,7.715989231554556,28.284773141010373,0.4527027027027027,38.28027387386276,24.272043775390028
