"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
537,660271,"Ohtani, Shohei",3153,17,0.254,0.311,0.301,0.566,0.368,0.354,0.253,31,122,91.4,7.6,1721,87.1,87.4,85,237,300,0.30000000000001137,6.44,117,146,132,152,300,326,306,"-10.788","10.788","73.6","8.4",133,82,14,5,3,9,40,30.1,10,7.5,2.66635,0.35528,1.11924,-0.76799,"93.9",136,49.39759036144578,14.457831325301203,9.022556390977442,5.72,-1.35,-0.35,1.78,0.311,12,"2.008938547",0.31,0.525,"-2.008938547",0.001,0.0010000000000000009,0.041,0.014,35.9,"36.9",18.59690409706301,-9.86929828051147,37.43852128525452,0.4765957446808511,42.86144572246503,31.9168320651796
401,518692,"Freeman, Freddie",2682,15,0.338,0.234,0.404,0.571,0.416,0.331,0.268,26,77,89.6,8.9,1694,86.9,87.24,56,187,214,0.29999999999999716,6.46,115,146,128,151,295,322,301,"-10.458","10.458","68.4","7.4",88,60,15,7,1,3,18,20.5,10,11.4,2.7098,0.32018,1.11294,-0.90631,"91.0",132,36.666666666666664,5,3.4090909090909087,5.72,-1.65,-0.38,1.85,0.409,3,"2.60798005",0.349,0.404,"-2.60798005",0.07,0.06,0.167,0.085,29.9,"36.7",15.830448451632769,-6.1729856811675985,43.87305798778169,0.4262295081967213,42.61534970692682,31.885833241882032
314,669242,"Edman, Tommy",1558,20.2,0.189,0.189,0.18,0.378,0.25,0.283,0.258,14,74,88.4,3,1752,86.4,86.62,28,140,174,0.19999999999998863,6.4,111,148,112,149,294,318,296,"-1.936","1.936","70.6","7.3",76,64,7,3,1,3,10,13.2,2,2.6,2.77885,0.28888,1.17287,-1.1279,"91.8",101,38.095238095238095,3.1746031746031744,2.631578947368421,5.62,-0.6,-0.21,1.81,0.211,2,"0.61656051",0.278,0.379,"-0.61656051",-0.069,-0.06700000000000003,-0.001,-0.033,20,"34.0",12.665739201437509,-6.216260381752827,26.319504429171506,0.6518518518518519,40.693369254737114,33.56814280200844
299,624424,"Conforto, Michael",2049,14.6,0.157,0.071,0.216,0.229,0.207,0.253,0.2,11,70,88.2,7.8,1743,86.7,86.9,41,138,161,0.20000000000000284,6.42,117,146,124,151,294,321,300,"4.172","-4.172","72.9","7.8",76,51,6,5,0,0,19,25,5,6.6,2.72328,0.32751,1.14331,-1.08485,"91.9",112,39.21568627450981,5.88235294117647,3.9473684210526314,5.67,-1.81,-0.47,1.87,0.224,3,"-1.395317726",0.263,0.302,"1.395317726",-0.043,-0.03900000000000001,-0.073,-0.046,29.7,"34.7",16.182916727451737,-9.278280480890508,33.032186921706106,0.45588235294117646,41.559844729838666,33.73909578060676
289,606192,"Hernández, Teoscar",2410,12,0.254,0.075,0.405,0.328,0.27,0.25,0.231,17,67,86,7.8,1696,86.1,86.37,65,149,140,0.30000000000001137,6.46,107,151,123,147,304,324,295,"0.845","-0.845","72.0","8.3",70,42,12,5,0,0,25,35.7,3,4.3,2.76875,0.32308,1.10533,0.05426,"91.7",111,40.476190476190474,2.380952380952381,1.4285714285714286,5.71,-0.06,0.19,1.77,0.286,1,"-0.292387543",0.264,0.3,"0.292387543",0.023,0.021999999999999964,0.028,0.02,43.6,"35.6",16.98963501040608,-10.608278108252241,34.68979205548191,0.4652777777777778,39.40093417978762,37.473480679491544
285,605141,"Betts, Mookie",2760,10.3,0.253,0.139,0.274,0.392,0.28,0.25,0.221,20,79,86.2,15.2,1684,86.7,86.72,41,150,135,0,6.33,104,149,121,144,302,322,293,"-3.335","3.335","68.7","7.5",83,65,15,2,0,3,16,19.3,2,2.4,2.69663,0.36445,1.12063,-0.38344,"91.2",128,29.230769230769234,6.153846153846154,4.819277108433735,5.74,0.72,0.3,1.85,0.265,4,"1.170175439",0.238,0.342,"-1.170175439",0.032,0.027000000000000024,0.05,0.03,27.3,"36.9",13.659945407112687,-10.948487490058358,36.697056893461756,0.5138888888888888,40.06051433719081,37.44803330140786
254,571970,"Muncy, Max",1892,13.4,0.271,0.254,0.343,0.525,0.383,0.37,0.245,16,59,88,6.1,1652,86.9,87.28,46,113,141,0.3999999999999915,6.52,114,145,127,151,298,322,301,"-7.058","7.058","70.8","7.4",68,39,9,3,0,4,20,29.4,9,13.2,2.69488,0.33453,1.08236,-0.95323,"93.1",149,43.58974358974359,15.384615384615385,8.823529411764707,5.66,-1.66,-0.34,1.72,0.368,6,"2.778740157",0.345,0.52,"-2.778740157",0.026,0.02300000000000002,0.005,0.013,40.7,"35.7",22.042244379303273,-10.830165541926524,35.69246550234786,0.3490566037735849,42.02865165563857,42.45033834424288
227,681624,"Pages, Andy",2581,8.8,0.255,0.164,0.333,0.418,0.308,0.309,0.27,14,55,89.2,17.4,1707,86.6,86.72,36,130,97,0.10000000000000853,6.39,108,150,121,146,302,321,293,"-4.254","4.254","70.2","8.3",58,38,9,3,0,2,17,29.3,3,5.2,2.67912,0.39252,1.11317,0.21846,"91.1",147,44.73684210526316,2.631578947368421,1.7241379310344827,5.76,-0.32,0.16,1.73,0.293,1,"1.874008811",0.308,0.402,"-1.874008811",-0.015,-0.015000000000000013,0.016,-0.001,27.7,"37.8",12.976599293869464,-9.662345642458995,43.06318049924164,0.4375,38.40852980750297,35.971828754542976
215,669257,"Smith, Will",2158,10,0.32,0.22,0.361,0.54,0.4,0.393,0.303,16,50,87.6,17.9,1674,86.4,86.51,19,86,129,0.09999999999999432,6.37,107,152,122,147,306,322,293,"-7.303","7.303","67.5","7.7",58,39,11,2,0,3,12,20.7,6,10.3,2.75614,0.32224,1.10577,-0.01898,"91.8",170,43.58974358974359,10.256410256410255,6.896551724137931,5.72,0.1,0.24,1.8,0.397,4,"3.396744186",0.383,0.539,"-3.396744186",0.017,0.014000000000000012,0.001,0.007,22.1,"37.4",15.530892299139209,-5.435748824475471,36.81250934437183,0.6666666666666666,38.42728623020931,35.60079033641709
162,571771,"Hernández, Enrique",1284,12.6,0.196,0.216,0.212,0.412,0.272,0.288,0.214,10,51,88.9,9.8,1684,85.9,86.05,30,93,69,0.29999999999999716,6.44,106,150,120,146,303,321,291,"0.125","-0.125","70.6","8.0",53,36,5,2,0,3,15,28.3,2,3.8,2.77043,0.35258,1.11037,-0.36679,"92.7",129,38.88888888888889,13.88888888888889,9.433962264150944,5.81,0.73,0.22,1.84,0.226,5,"-0.077160494",0.244,0.433,"0.077160494",-0.018,-0.017999999999999988,-0.021,-0.016,32.3,"38.6",15.01859191844276,-10.096401170442304,31.262640258060603,0.6292134831460674,41.750667211064965,36.87832101411834
