"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
673,660271,"Ohtani, Shohei",3168,21.2,0.281,0.353,0.349,0.633,0.415,0.426,0.276,39,139,93.5,13.3,2511,85,85.06,131,315,358,0.09999999999999432,6.31,118,146,131,152,300,326,306,"-16.128","16.128","73.1","8.3",159,93,15,9,5,10,47,29.6,18,11.3,3.09377,0.07772,-0.5986,-0.02573,"94.4",159,56.98924731182796,23.655913978494624,13.836477987421384,5.74,0.28,-0.1,1.88,0.365,22,"2.396433878",0.362,0.661,"-2.396433878",0.005,0.0030000000000000027,-0.028,-0.011,41.6,"36.7",19.600699753724527,-11.586773170730508,38.524938623773345,0.41830065359477125,39.88410005540585,34.29417408312844
672,606192,"Hernández, Teoscar",2428,27.7,0.226,0.202,0.287,0.429,0.295,0.29,0.222,38,168,88.4,10.4,2509,85.7,85.81,139,337,335,0.09999999999999432,6.35,108,150,122,146,303,323,294,"-0.44","0.44","71.0","8.1",181,110,22,7,0,9,61,33.7,9,5,3.00927,0.11054,-0.58829,-0.47597,"92.4",142,42.72727272727273,11.818181818181818,7.18232044198895,5.73,-1.42,0.45,1.91,0.265,13,"0.06547619",0.265,0.407,"-0.06547619",0.004,0,0.022,0.005,41.2,"37.0",13.506463365596542,-7.3946043044937015,32.19603395738485,0.5736196319018405,41.22820823264303,35.46352861707074
670,681624,"Pages, Andy",2585,25.9,0.263,0.177,0.285,0.44,0.311,0.287,0.242,46,175,87.1,22.6,2481,85.6,85.7,88,371,299,0.10000000000000853,6.32,108,151,122,147,302,321,293,"-1.57","1.57","69.6","8.1",185,145,30,8,1,7,33,17.8,6,3.2,2.98976,0.16584,-0.58024,-0.39401,"91.1",170,30.344827586206897,8.275862068965518,6.486486486486487,5.76,-1.1,0.37,2.07,0.288,12,"0.234328358",0.268,0.402,"-0.234328358",0.021,0.019999999999999962,0.038,0.024,23.7,"37.5",10.29125693977741,-8.066043350267355,40.91704022619008,0.5274725274725275,40.83881968635267,34.64561237605182
654,605141,"Betts, Mookie",2780,23.5,0.238,0.152,0.241,0.39,0.294,0.303,0.253,39,164,87.9,20.9,2534,86.1,86.28,66,282,372,0.20000000000000284,6.34,108,151,122,146,302,321,292,"-1.72","1.72","65.9","7.3",178,143,26,7,0,6,23,12.9,11,6.2,2.93887,0.14584,-0.58078,-0.43166,"91.7",175,34.26573426573427,5.594405594405594,4.49438202247191,5.75,-1.18,0.45,1.9,0.287,8,"0.262996942",0.302,0.388,"-0.262996942",-0.015,-0.015000000000000013,0.002,-0.009,23.4,"37.2",10.647909647439564,-9.61117398309149,34.90727959646027,0.5095057034220533,40.19169098189776,36.200070323228665
560,669257,"Smith, Will",2177,25.7,0.287,0.178,0.342,0.465,0.394,0.384,0.26,29,101,88.9,20.6,2485,85.5,85.77,59,204,356,0.29999999999999716,6.4,109,151,122,147,305,321,293,"-14.665","14.665","66.8","7.6",128,77,19,6,0,4,25,19.5,25,19.5,3.03484,0.1737,-0.5651,-0.42273,"91.8",176,35.064935064935064,10.38961038961039,6.25,5.73,-1.31,0.51,1.9,0.43,8,"2.61875",0.409,0.466,"-2.61875",0.027,0.02100000000000002,-0.001,0.01,28.9,"36.9",15.18696104995339,-5.543541188401561,35.402082093321276,0.5829145728643216,39.463451020900436,35.889379850878264
543,518692,"Freeman, Freddie",2703,20.1,0.248,0.162,0.342,0.41,0.327,0.329,0.228,29,117,89.8,20.1,2475,85.3,85.35,102,266,277,0,6.27,117,147,128,151,294,322,303,"-2.874","2.874","67.2","7.2",134,79,17,8,1,3,39,29.1,13,9.7,3.02295,0.12436,-0.55168,-0.02482,"91.4",154,40.50632911392405,12.658227848101266,7.462686567164178,5.75,0.11,-0.16,2.05,0.336,10,"0.529281768",0.322,0.415,"-0.529281768",0.02,0.014000000000000012,-0.005,-0.002,38.3,"36.4",14.182425839014702,-4.879731448814244,43.2921894904086,0.4312977099236641,40.575084814782436,30.504849617183286
432,571970,"Muncy, Max",1914,22.6,0.176,0.11,0.259,0.286,0.248,0.297,0.202,16,91,89.7,18.5,2476,84.9,85,59,177,255,0.09999999999999432,6.32,115,145,126,151,297,322,300,"4.262","-4.262","69.0","7.3",103,56,11,2,1,2,36,35,8,7.8,3.09495,0.12677,-0.58415,0.18898,"92.6",154,42.857142857142854,10.714285714285714,5.825242718446602,5.75,-0.59,-0.09,1.93,0.262,6,"-0.986574074",0.287,0.388,"0.986574074",-0.026,-0.024999999999999967,-0.102,-0.049,33.3,"37.5",22.49682238282375,-12.506340029484152,36.314733118241634,0.32926829268292684,38.092761572668174,43.34820916973595
401,624424,"Conforto, Michael",2049,19.6,0.163,0.15,0.196,0.313,0.258,0.301,0.215,13,80,86,17.4,2491,84.5,84.59,52,190,211,0.09999999999999432,6.27,119,146,123,151,293,320,300,"3.077","-3.077","73.2","7.5",92,54,7,3,0,3,27,29.3,8,8.7,3.20511,0.10726,-0.59997,0.28982,"90.9",118,33.33333333333333,7.4074074074074066,4.3478260869565215,5.7,-0.86,-0.07,2.02,0.261,4,"-0.767331671",0.307,0.371,"0.767331671",-0.052,-0.045999999999999985,-0.058,-0.043,27.4,"35.7",14.206239088545331,-6.2303075334573865,32.67000452630783,0.4648648648648649,36.93898935738939,31.743848589819088
378,571771,"Hernández, Enrique",1302,29,0.198,0.049,0.281,0.247,0.211,0.218,0.197,16,81,84.5,20.5,2461,85.6,85.62,76,198,180,0,6.28,106,150,119,146,301,319,289,"6.929","-6.929","68.3","7.7",88,58,12,4,0,0,26,29.5,4,4.5,3.04474,0.0818,-0.59906,-0.34366,"90.9",145,24.561403508771928,1.7543859649122806,1.1363636363636365,5.77,-0.76,0.32,1.91,0.23,1,"-1.833068783",0.232,0.258,"1.833068783",0.001,-0.0020000000000000018,-0.011,-0.007,38.4,"37.9",13.045724155756776,-10.925412616083928,30.025224751009116,0.5544041450777202,41.44730848188057,37.32578531094632
271,500743,"Rojas, Miguel",1239,21.9,0.266,0.234,0.277,0.5,0.33,0.313,0.281,17,64,83.5,11,2482,84.7,84.76,38,134,137,0.09999999999999432,6.27,110,151,115,147,299,316,284,"-1.94","1.94","63.6","7.3",65,51,10,3,0,4,13,20,1,1.5,3.19742,0.08219,-0.62539,-0.30167,"90.3",142,33.33333333333333,7.8431372549019605,6.153846153846154,5.68,-0.78,0.37,1.99,0.277,4,"0.715867159",0.292,0.438,"-0.715867159",-0.015,-0.014999999999999958,0.062,0.017,28.4,"36.4",9.542575257825225,-8.143040692385489,32.00952689651132,0.528,40.17251144943808,39.02063008392089
